guc,spa
ichee,estar  ser tieso  -sa; estar  ser firme; estar  ser fijo  -ja
ichee,estar  ser duro  -ra
ichee,ser resistente  ser inflexible
ichii,sal
ichii,árbol dividive
ichii,e'ichiise
iipünaa ,arriba
iisho,ave cardenal coriano
iita,recipiente para comida o bebida
iita,-in
iita,aliita
iiwa,primavera (tiempo de lluvias menores)  Pléyades (constelación)
ipa,piedra
ipa,eipain
"ipooluu, ipuoluu",estar encinta  estar embarazada
iraa,ser insípido  -da; tener poco sabor
irama,venado
irolu ,verde (no seco)
isaa achiki,no poder
isaa achiki,El sujeto de isaa corresponde al complemento del verbo ‘poder’ y el complemento de achiki corresponde al sujeto de ‘poder’
isashii,tierra virgen  desierto
"isira, ishira",maraca
"isira, ishira",eisira
isha,sangre
isha,asha
ishaa ,sufrir una quemadura  quemarse
ishi,hueco  pozo
ishi,eishin  eishia
ishii,ser amargo  -ga
ishira,isira
ishoo,ser rojo  -ja
itaa ,secarse
ittaa,estar podrido  -da
ittaa,— v_i
ittaa,pudrirse  descomponerse  deshacerse
ittaa,quemarse  sufrir una quemadura
iwaa,ser prostituta
iwana,iguana
iyaa,estar crudo  -da
jaarü,pocillo  jarra  jarro
jaarü,-in
"ja’apü, ka’apü ",mediano  -na
ja’ijawaa,cho'ujawaa
"ja’itaichi, -rü, -na ",aunque  no importa que
"ja’itaichi, -rü, -na ",Son las formas masculina  no masculina  y plural
"ja’itaichi, -rü, -na ",La conjunción concuerda con el complemento del verbo transitivo o con el sujeto si el verbo no es transitivo
ja’iwaa,estar caliente
ja’nyuulerü,ja'yumulerü
ja’nyuwaa,ja'yumuu
ja’rai ,pron
ja’rai ,cinco
ja’yaa ,aparecer
ja’yaa ,— v_e
ja’yaa ,ser visible  ser audible
ja’yulu,je'yulu
"ja'yumulerü, ja’nyuulerü",mosca
"ja’yumuu, ja’nyuwaa",estar bien cocido  -da; estar maduro  -ra
jalaa,dónde estar
"jalaichi, -rü; -na ",ven acá (masculino  no masculino); vengan acá
jalia ,¡cuidado!
jamaa,por qué ser  cómo ser
jamaamaa,ser liviano  -na
jama’a,hamaca
jama’a,-in
jamü,hambre  escasez de alimento
jamüche'e,tuna
japülii,tener vergüenza
japülii,ser tímido  -da
"jarai, jaralü, jaralii ",quién  cuál
"jarai, jaralü, jaralii ",— adj
"jarai, jaralü, jaralii ",cuál
"jarai, jaralü, jaralii ",Son las fonnas masculina  no masculina  y plural
jasai,arena
jashichii,estar enojado  -da; estar
"bravo, -va.",aashichijaa
jashü’üwaa,ser agrio  -a
jatü,flecha
jatü,ajatü
jawa’awaa,estar flojo  -ja
jawa’awaa,ser suave
jawataa,ser pesado  -da
jayaa,ser barato  -ta
jayapa ,pulga
"jayeechi, jayiichi",canción
"jayeechi, jayiichi",ee'irain
je ,y
je ,o
jeerü,hierro (de marcar)
jeerü,marca (en el ganado)
jeerü,ejeetse
"jekechi, -tü ",nuevo  -va
je’iyee,ji'iyee
je’wee,estar maduro  -ra
"je’yulu, ja’yulu",alacrán
"jemeiwaa, jemelii ",nacer
jemetaa,ser sabroso  -sa
jemetaa eejuu ,ser oloroso  -sa
"jemeyuluu, jemeyulaa ",v_t
"jemeyuluu, jemeyulaa ",dar a luz  parir
"jemeyuluu, jemeyulaa ",— v_i
"jemeyuluu, jemeyulaa ",nacer
jemiai,frío
jepirachi,brisa distintiva del norte
jera,cuánto ser
jerottaa,ser brillante; ser claro  -ra
jerulaa,ser ancho  -cha
jeyuu,hormiga
jia ,ustedes; los  las
jia ,shia
jierü,mujer
jierü,hembra
jieyuu.,eerüin
jiiku,cuerda  soga
jiiku,-in
jiipü,hueso
jiipü,restos mortales
jiipü,eipüse
jiirü,hilo
jiirü,-in
jiitpai,hilaza
jiitpai,-se
"ji’iyee, je’iyee",negar
"ji’iyee, je’iyee",— v_e
"ji’iyee, je’iyee",ser tacaño  -ña
ji’rupu,mosquito
ji’rupu,mei
jima,jime
jima’ai ,joven (varón)
jima’ai ,jima'alii
jimataa,estar quieto  -ta; estar tranquilo  -la
jimataa,— v_i
jimataa,calmarse
"jime, jima",pez  pescado
"jime, jima",-in
jimo’olu,no m
jimo’olu,muchacha
jimo’olu,jimo'onnuu
jintulu ,no m
jintulu ,niña
jintüi ,niño  muchacho
jirijirü,pirijirü
jokoma,gusano
jo’uu,nene  -na; bebé
jo’uuchon ,pequeño  -ña; corto  -ta
jolotoo,tener ampolla
jolotsü,estrella
jooki,linterna
jooki,-in
joo’uya ,vámonos
joolu’u ,ahora  pronto
josoo,estar seco  -ca
josoo,oosojowaa
jotaa ,arder
jotaa ,quemarse
jotaa ,— v_e
jotaa ,estar prendido
jotaa ,estar quemado  -da
jouja ,cuándo
jouktai,viento  brisa
jouktai,aire
joulaa,ser mucho  -cha; ser bastante
joyotoo,estar sentado  -da
ju'i,grillo
ju'letaa,estar acostado  -da
ju'letaa,— v_i
ju'letaa,tropezar y caerse
juleena,freno (de caballo)
juleena,-se
julirü,mariposa
juluu,estar seco  -ca; estar marchito  -ta
junaaya,honda
junaaya,-se
"juriicha, juriichi",comida frita
"juriicha, juriichi",-in
jutataa,estar abierto  -ta
jutkataa,estar reunido  -da
jutkataa,— n
jutkataa,reunión
jutkataa,outkajawaa
juya,lluvia
juya,año
juya,ouyase
jülüjaa aa'in,pensar
jülüjaa aa'in,El sujeto del verbo jülüjaa corresponde al complemento del verbo ‘pensar’ y el poseedor de aa'in  ‘corazón’ corresponde al sujeto de ‘pensar’
jülüjaa aa'in,Por ejemplo  jülüjashü jia taa'in equivale a ‘pienso en ustedes’
jüüjüwaa,ser obediente; ser sumiso  -sa
kaainjalaa ,causar daño  pecar
kaainjalaa ,aainjala
kaa’inwaa,ser arisco  -ca; ser brioso  -sa
kaa’inwaa,ser temeroso  -sa
kaa’inwaa,ser juicioso  -sa; ser prudente
kaa’inwaa,aa'in
kaa’ula,cabra  chivo
kaa’ula,-in
"kaa’ürüi, kaa’ürüla",perla
"kaa’ürüi, kaa’ürüla",-se
kaarai,alcaraván (dara)
kaasü,petróleo (para lámpara)
kaasü,-in
kaasha,tambor
kaasha,-in
"kaashapü, kaashapa",langosta (insecto)
kaatei ,¡oiga!
kaatset,cárcel
kachetaa,estar colgado  -da
kachonwaa ,v_i
kachonwaa ,tener hijo
kachonwaa ,dar fruto
kachonwaa ,achon
kachueera,hierro  alambre
kachueera,akachueetse
kajaa,ser lento  -ta de habilidad
"kakaliaa, kaka’iyaa",llevar mucho tiempo  durar mucho tiempo
"kakaliaa, kaka’iyaa",ka'i
kakuaa,ser veloz (andando)
kakuaa,akua
kakuuna,prenda (joya)  collar
kakuuna,-se  -in
ka’apü,ja'apü
ka’i,sol
ka’i,día
ka’i,tiempo
ka’i,akalia
ka'lapücho'u ,ku'lupucho'u
ka’lee,ser grueso  -sa (de objetos planos)
"ka’ruwarai, -ralü ",n
"ka’ruwarai, -ralü ",no m
"ka’ruwarai, -ralü ",ladrón  -drona
"ka’ruwarai, -ralü ",ka'ruwaralii
"ka’ruwarai, -ralü ",a'luwajaa
ka’wayuusee,tener esposo  -sa
ka’wayuusee,a'wayuuse
ka’yataa,estar un poco retirado  -da
kalapaasü,patilla (especie de fruta)
kalapaasü,-in
kalapüi,horcón principal de una casa
kalapüi,-se
kaleena,cadena
kaleena,-se
kalekale,perico (cara sucia)
kale’u ,a mediodía
kale’u ,ka'i
kaliina,gallina
kaliina,-se
kalu’uwaa,contener
kalu’uwaa,alu'u
kamanewaa,ser amable; ser bondadoso  -sa; ser compasivo  -va
kamanewaa,amanee
kane'ewa,mamón (fruta)
kanüliaa,ser llamado  -da
kanüliaa,tener fama
kanüliaa,anülia
kapülewaa,ser difícil
kapülewaa,mapülewaa
kapüü,estar atado  -da
kapüü,apü
karaloukta,papel
karaloukta,libro
karaloukta,akaralouktse
karateera,carretera
karatiiya,carretilla
karatiiya,-se  -in
kasa ,pron qué
kasa ,— n
kasa ,cosa
kasaa (1),tener filo
kasaa (1),asa
kasaa (2),ser capaz de meter más
kasachiki,noticia
kasachiki,desgracia
kasachiki,guerra
kasewaa,ser ruidoso  -sa; ser bullicioso  -sa
kasipa,ciempiés
kaspolüin,arco iris
kasuwaa,ser blanco  -ca; ser canoso  -sa
kashi,luna
kashi,mes
kashüülaa,ser feo  fea; ser grosero  -ra; ser horrible
kataa o’u,estar vivo  -va; vivir
kataa o’u,— n
kataa o’u,vida
katchinwaa,katsüinwaa
katipirüin,ave atrapamoscas sangre de toro
katkousü,arma de fuego
katkousü,a'apüla
"katsüinwaa, katsinwaa, katchinwaa",ser fuerte
"katsüinwaa, katsinwaa, katchinwaa",atsüin
katto’ui,mochila  pos
katto’ui,-se V
katto’ui,piyulu
katünaa,tener alas
katünaa,— v
katünaa,i
katünaa,nadar
katünaa,V atüna
katünasü,avión
"kaüsüü, kaüsii",ser gordo  -da
"kawachiraa, kawatiraa",ser veloz (corriendo)
"kawachiraa, kawatiraa",awachira
keejuwaa,heder
keejuwaa,eejuu
keemaa,ser temible; ser katto'ui aterrador  -dora
keemaa,V eema
keenaa ,derramarse
keenaa ,gotear
keesü,queso
kekiiwaa,ser inteligente; ser sabio  -bia
kekiiwaa,ekii
kemion,camión  carro  automóvil
kemion,-se
kepein,café
kepein,-se
kepeshuuna,pitshuushi
kepiaa ,vivir (residir)
kepiaa ,epia
kerawaa,estar terminado  -da; estar acabado  -da; estar listo  -ta
kerawaa,ekeraajaa
kettawaa,estar terminado  -da; estar concluido  -da; estar listo  -ta
kisaawaa,estar guisado  -da
kochiina,cochino  -na
kochiina,-se
kojee,n café
kojee,-se
kojoo,ser espeso  -sa; ser denso  -sa
kojutaa,ser caro  -ra
kojutaa,ajutu
kojutaa atüma,ser respetado  -da por; ser honrado  -da por
kojuyaa,ser varios  -rias; haber bastante
ko'oi,avispa
ko’oyowaa,ser redondo  -da
ko’oyowaa,estar envuelto  -ta; estar enrollado  -da
ko’utaa,estar callado  -da
koleejia,colegio
koleejia,-se  -in
"koojaa, koojoo ",pincharse
kookooche'erü,ratón  rata
kootole'era,gallo
kootole'era,okootole'etse
korolo,cosa (pertenencia de alguien)  pieza
korolo,akorolo
kosinapia,cocina
kosinapia,-se
kotoorojüin ,verde (color de objeto)
kotoorojüin ,wüittüsü
koucha,caucho
koucha,honda de caucho
koucha,-in
"kousüla, kousülo'u",bala
"kousüla, kousülo'u",okousülain  okousülo'use
"ku'lupucho'u, ku'lupüchü'i, ka'lapücho'u",ave cucarachero currucuchú
kulaala,corral
kulaala,akulaatse
kuli’ichi,vara
kuli’ichi,-in
kulira,anzuelo
kulira,-in
kuluulu,tela
kuluulu,ropa
kuluulu,akuluutse
kusu,red de pescar
kusu,-in
laa,jagüey
laa,-se
laapi,lápiz  pos
laapi,-in
lakayawaa,ser redondo  -da
la'walawaa,ser flexible
lamuuna,lago
lamuuna,-in
lania,amuleto  contra
lania,-in
lapü,sueño
lapü,a'lapüin
laüktaa,ser grueso  -sa (de objetos cilíndricos)
laülaa ,viejo  -ja; anciano  -na
laülaa ,— n
laülaa ,viejo  -ja; anciano  -na
laülaa ,jefe  -fa
laülaa ,dueño  -ña
laülaa ,laülaayuu
laülaa ,alaülashi  -sü
leechi,leche
leechi,-in
leeyataa ,dar vueltas
"lemtaa, lemütaa ",arrastrarse  gatear
lotaa,ser recto  -ta
lotaa,ser ordenado  -da
lotaa,ser correcto  -ta
luma,enramada (estructura abierta por todos lados con techo que protege del sol)  pos
luma,-se
luta,piedra de afilar
luta,-in
luusa,luz
luusa,-in
luwopu,arroyo
maa(1),decir
maa(2),ser así
maa aka ,como
maa aka ,— conj
maa aka ,como
maa aka ,— v_e
maa aka ,ser como
maa aka aa'in ,ser como  parecerse a
maa aka aa'in ,El sujeto del verbo maa corresponde al sujeto del verbo ‘parecerse’ y el poseedor de aa'in  ‘corazón’  corresponde al complemento de ‘parecerse’
maa aka aa'in ,Por ejemplo  miishi aka nia saa’in püliiki equivale a ‘él se parece a un burro’
maachon,mamá  abuela
maa'ala,culebra cascabel
maa'awaa,v
maa'awaa,e
maa'awaa,estar desorientado  -da — v_e
maa'awaa,v_i
maa'awaa,extraviarse  confundirse
maa’inwaa,ser necio  -cia
maa’inwaa,ser prostituta
maa’inwaa,aa'in
maa’ulu yaa ,hoy en día  en este tiempo
maalü ,ya
maalü ,pronto
"maasü, maasi",flauta
"maasü, maasi",-in
maawüi,algodón
maawüi,-se
mache’ewaa,ser sordo  -da
mache’ewaa,ser terco  -ca
mache’ewaa,ache'e
"maikki, maikkü",maíz
"maikki, maikkü",amaise  amaikküin
mainma,wainma
maittaa,estar en calma el tiempo
majayülü,señorita  joven (mujer)
majayülü,majayünnüü
majayülü,amajayütse
makataa ,quedarse
ma’i ,muy  mucho
ma'uwa,mo'uwa
malaa,ser tonto  -ta; ser bobo  -ba
Maleiwa,Dios
Maleiwa,-se
mamainnaa,ser loco  -ca
mamainnaa,estar enfermo  -ma de rabia
mannuuya,neblina
manteeka,aceite comestible
manteeka,-se
mapa(1) ,después
mapa(2 ),miel de abeja
mapa(2 ),-in
mapase,cera de abeja
mapüi,piojo
mapülewaa,ser fácil
mapülewaa,kapülewaa
mapüsaa,estar cansado  -da
maraaja,vidrio
maraaja,botella
maraaja,-in
maralüü,ser estéril
mariiyaa,ser amarillo  -lla
mashale'e,ave caricare
matsüinwaa,estar sin fuerza
matsüinwaa,atsüin
matsüinwaa aa’in,ser débil
maüna,cobro por daño a una persona
maüna,-in
mayeinwaa,estar grave (de enfermedad)
mayeinwaa,ayuulii
mee’era,broma
mee’era,-in
mei,zancudo
"meinshi, weinshi ",siempre
mekeerüü,buscar ganado  rodear ganado
mekietsalü ,pron
mekietsalü ,nueve
mekiisalü ,pron
mekiisalü ,ocho
meruuna,melón
meruuna,-in
metkaalü,mercado
"miichi, piichi, pinchi",casa  edificio
"miichi, piichi, pinchi",epia
"miicho’u, piicho’u",puerta (la entrada)
"miicho’u, piicho’u",puatto'u
"miiroku, miiruku",sitio donde hay agua
mi’iraa,fiesta
"miyaasüü, munyaasüü, wunyaasüü",tener sed
"miyo’u, müle’u, mülo’u ",grande
"miyo’u, müle’u, mülo’u ",largo  -ga
"miyo’u, müle’u, mülo’u ",mayor  mma n
"miyo’u, müle’u, mülo’u ",tierra  polvo  suelo
"miyo’u, müle’u, mülo’u ",lugar
"miyo’u, müle’u, mülo’u ",terreno
"miyo’u, müle’u, mülo’u ",país
"miyo’u, müle’u, mülo’u ",oumain
mmolu’u ,en el suelo  abajo
"mmoluu, momoluu",tener miedo
mmoluu eema,temer
mojulawaa,ser malo  -la (de comportamiento); ser travieso  -sa
mojulawaa,— v_i
mojulawaa,portarse mal
"mojuu, mujuu",ser o estar malo  -la
"mojuu, mujuu",estar dañado  -da
"mojuu, mujuu",estar desgastado  -da
"mojuu, mujuu",ser dañino  -na
"mojuu, mujuu",ser pobre  mojuu aa'in
mujuu aa'in,estar triste
mojuui,monte (vegetación)
mo’uu,ser ciego  -ga
mo’uu,o'u (1)
"mo’uwa, ma’uwa",paloma (silvestre)
"mo’uwa, ma’uwa",toomasü
moliina,molino (de moler)
moliina,molino (de viento)
moliina,-in  -se
molokoono,tortuga de tierra
momoluu,mmoluu
monku,mango (fruta)
monkulonseerü,búho
motoo aa’in,olvidar  olvidarse
motoo aa’in,El sujeto del verbo motoo corresponde al complemento del verbo ‘olvidar’ y el poseedor de aa'in  ‘corazón’  corresponde al sujeto de ‘olvidar’
motoo aa’in,Por ejemplo  motiisü waa'in tü pankat equivale a ‘olvidamos el pan’
motso'o ,por poco tiempo  brevemente
motso'o ,inmediatamente
motsoo,ser pequeño  -ña
motsoo,ser poco  -ca
moulii,ser angosto  -ta; ser estrecho  -cha
mujuu,mojuu
mujuu aa’in,mojuu aa'in
munyaasüü,miyaasüü
muula,mulo  -la
muula,-in
muusa,gato  -ta
muusa,-in
müleka,si  en caso de que
müle’u,miyo'u
müliaa ,sufrir
müliaa ,— v_e
müliaa ,ser pobre
müliashii,difunto  -ta
mülo’u,miyo'u
mürülü,animal doméstico
mürülü,mascota
mürülü,amü'ünüin
mütsiiya ,negro  -gra
mütsiiyaa,ser negro  -gra
na ,tómelo
na ,estos
naa ,pron éstos
naa ,— adj
naa ,estos  gram
naa ,Esta forma del adjetivo se usa después del nombre
naataa,ser ajeno  -na; ser extraño  -ña
naataa,ser diferente
nala ,esos
"namüna, naumna",loma  cerro
nasa ,aquellos
naya ,pron ellos  ellas; los  las
"neerü, nneerü",dinero
"neerü, nneerü",anneetse
ne’e ,justamente  solamente
nia ,pron él  lo
nneerü,neerü
nnojo ,no
"nnojolaa, nnojoloo",no haber  no estar  no ser
oi ,vello
oi ,lana
oi ,escama (de un pez)
"oikkaa, aikkaa",vender
ojoitaa,enterrar
ojotaa,botar (un grupo o montón de cosas)
ojottaa,morder
ojottaa,picar (de insectos)
"ojuichajaa, ojuichijaa, ajuichajaa ",romperse
"ojuichajaa, ojuichijaa, ajuichajaa ",— v_t
"ojuichajaa, ojuichijaa, ajuichajaa ",borrar
"ojuichajaa, ojuichijaa, ajuichajaa ",destruir
ojuittaa,ajuittaa
ojuittiraa,ajuittiraa
ojujawaa,ajujawaa
ojulejaa,ajulijaa
"ojuntaa, ajuntaa ",virar  desviarse
"ojununtawaa, ajununtawaa ",volverse (darse la vuelta)
ojurulajaa,ajurulajaa
ojutaa,ajutaa
ojutalaa,ajutalaa
"ojuttaa, ajuttaa ",caer  derrumbarse
"ojuttiraa, ajuttiraa",derribar  destruir
ojutu,ajutu
ojutuwaa,ajutuwaa
"ojuuna, ajuuna ",a escondidas de  sin que se dé cuenta
ojuyaajaa,ajuyaajaa
ojuyaala,ajuyaala
oko’oloo,envolver
oko’oloo,enrollar
okolojoo,llevar regalo
okolojowaa ,mudarse
okotchojoo,akotchajaa
okotchojowaa,akotchajawaa
o’ktaa,o'utaa
o’lojoo,lavar
o’onowaa ,mudarse (temporalmente con el rebaño)
o’oojoo ,bañarse
o’otojowaa,sacudir
o’otoo ,llegar
o’otoo ,suceder
o’otoo ,— v_t
o’otoo ,montar
o’otoo ,cargar
o’otoo ,imponer
o’otowaa ,montar
o’otowaa ,subir
o’tchejaa,fallar (no dar en el blanco)
o’tchejawaa amaa,equivocarse con  equivocarse de
o’tta ,y
o’ttaa(1) ,v_t
o’ttaa(1) ,comenzar  empezar
o’ttaa(2) ,aterrizar
o’ttaa(2) ,posarse
o’ttaa(3),o'utaa
o’ttawaa ,pasar
o’ttawaa ,salvarse
o’tte’eraa,hacer pasar
o’tte’eraa,salvar
o’u(1) ,ojo
o’u(1) ,puerta
o’u(1) ,abertura  agujero
o’u(1) ,faro
o’u(1) ,grano
o’u(1) ,color
o’u(2) ,en (el fuego  la luz  la oscuridad)
o’u(2) ,en (una fecha)
o’u(2) ,— n_pos
o’u(2) ,vez
o’ula ,lecho  hamaca
o’ula ,telaraña
o’ula ,placenta
o’ulejaa,maldecir
o’ulijaa,cargar (a un niño)
"o’uluku, o’utku ",miembro  parte
o’unaa ,ir  salir
o’unaa ,— n
o’unaa ,viaje
o'uniraa,llevar
o’unnaa,o'utpünaa
o’upala ,delante de (a la vista de)
o’upünaa ,cara  rostro
o’use ,gafas
o’uta ,pestaña
"o’utaa, o’ktaa, o’ttaa (3)",ser profundo  -da
o’utaa aa’in,matar
o’utala ,cáscara
o’utku,o'uluku
"o’utpünaa, o’unnaa ",durante  en medio de
"o’utpünaa, o’unnaa ",— conj
"o’utpünaa, o’unnaa ",mientras
o’uwa ,cuerno
o’uwajaa,a'luwajaa
o'uwatawaa,a'luwatawaa
o’uyaajana ,acompañante
o’uyaajana ,amaajachi
o'uyaakua,ayaakua
o’yotoo,verter (un líquido)
o’yotoo,echar (un líquido)
o’yotowaa,cortar (con cuchillo  tijeras)
olojoo ,v_t
olojoo ,cazar
olu ,borde
olu ,orilla
omocho ,ombligo
omokoin ,espuma
oojoo,raspar
ookotuushi,mazamorra
ookotuushi,ookotüin
oo’omüin ,pron
oo’omüin ,más
oo’omüin ,— posp
oo’omüin ,contra
oo'opünaa ,por
oo'opünaa ,por encima de
oo'opünaa ,en cuanto a
oo’ui ,pie
oo’ui ,pata
oo’ui ,huella  rastro
oo’ui ,llanta
oo'ulaka ,y
oo’ulakaa,intentar  probar
oo’ulakaa,practicar  realizar
oo’ulakaa,adivinar (por medios sobrenaturales)
oo’ulawaa,dejar
oo’ulawaa,abandonar
oo’ulawaa,permitir
oo’ulia ,mata
oo’uliwo’u ,descendiente
oonojoo ,toser
oonowaa amaa,obedecer  hacer caso de
oonowaa amaa,estar de acuerdo  apoyar
oonowaa amaa,creer
oora,hora
ooro,oro
ooro,o'ooroin
ooroloo,estar hinchado (el abdomen)
ooroloo,ourulaa
oosojowaa ,secarse
oosojowaa ,josoo
ootojoo,perforar
ootoo ,ladrar
ootoo ,— v_t
ootoo ,estimular  animar
ootoo ,autorizar
"oponoo, aponoo",cavar
opoolojoo,hervir
opootaa ,atascarse (en el barro o en la arena)
"oso'iraa aa'in, aso'iraa aa'in",recordar  hacer recordar
"oso'iraa aa'in, aso'iraa aa'in",resucitar
"oso'iraa aa'in, aso'iraa aa'in",sotoo aa'in
"oso'irawaa aa'in, aso'irawaa aa'in ",recobrar el conocimiento  volver en sí
"oso'irawaa aa'in, aso'irawaa aa'in ",resucitar
ososo ,pulmón
osotaa,asotaa
osottaa,asottaa
oshojoo,desollar  pelar  desvainar
osho'o ,nudo
oshottoo,ashottaa
otse ,olla
otse ,lo cocinado por
otse ,wushu
oukaa achiki,impedir
oukajaa,esperar (una llegada)
ouktaa ,morir
ouktaa ,— v_e
ouktaa ,estar muerto  -ta
ouktaa ,— n
ouktaa ,muerte
ouktapünawaa ,perder el conocimiento  desmayarse
ouktasiro'ulu ,mortal (que causa la muerte)
oulia ,de  más que  en vez de  contra
oulia ,— conj
oulia ,para que no
ounekaa,eenakaa
"ounjulaa, anujulaa",esconder
"ounjulawaa, anujulawaa ",esconderse
ountaa,poder
oupünaa ,debajo de
ourala ,raíz
ourulaa,estar hinchado  -da
ourulaa,ooroloo
ousaa,deshierbar  arar  rozar (un terreno)
oushikawaa achiirua,seguir
"oushu, oushi ",abuela
oushuwaa,tener fiebre
outkajaa,reunir  juntar
outkajaa,rodear (ganado)
outkajawaa ,reunirse
outkajawaa ,jutkataa
"outshi, -sü ",n
"outshi, -sü ",no m
"outshi, -sü ",piache; curandero  -ra
"outshi, -sü ",outsia
ouyantaa ,volver
ouyantaa ,— v_t
ouyantaa ,hacer volver
ouyase ,edad (años)
ouyase ,juya
"owoutisaajaa, awoutisaajaa",bautizar
oyokojowaa ,apagarse
oyokojowaa ,— v_t
oyokojowaa ,apagar
oyokojowaa ,yokutaa
"oyonnajaa, oyonnojoo ",bailar
"oyonnajaa, oyonnojoo ",yonna
paa'a,vaca  ganado (vacuno)
paa'a,asachiralü
paa'ata,cuero
paa'ata,-in
paa'inwaa,estar de acuerdo
paala ,antes
paala ,ahora mismo
paarü,pala
paarü,-in
paasta,plástico
paasta,-in
paatia,patio
paatia,-se
palaa,mar
palaapünaa ,por el norte
"palajachi, -tü ",primero  -ra
"palajachi, -tü ",— n
"palajachi, -tü ",n
"palajachi, -tü ",no m
"palajachi, -tü ",primero  -ra
"palajachi, -tü ",palajana
palajana ,primero
palastaa,estar acostado  -da; estar tendido  -da
palawaa,ser salado  -da
pali'i,ceniza
palirawaa,estar mezclado  -da
palitchon ,pron
palitchon ,poco  -ca; poquito  -ta
palitchon ,yootchon
palousa,tijeras
palousa,-in
pan,pan
pan,-se
pansawaa,estar derecho  -cha  2
pansawaa,ser seguro  -ra (confiable)
pansawaa,ser recto  -ta
pansawaa,ser justo  -ta
pasalawaa atüma,ser vengado por
pasanain anain ,en medio de  entre
pasanuaa,ser delgado  -da (de objetos cilíndricos)
paülü'ü ,adentro (de la casa)
peerü,perdiz
peesü'ülü ,detrás de una casa
pejee,estar cerca
pejeewa ,a cada rato
"pentaana, wentaana",ventana
peraa,ser mocho  -cha
perulaa,chisme
perulaa,eperulain
pia ,pron tú; te; usted; lo  la
piama ,pron
piama ,dos
piama shikii,veinte
piamale ,pron
piamale ,ambos  -bas; los dos
piantua ,dos veces
pienchi ,pron
pienchi ,cuatro
"piichi, pinchi",miichi
pirataa,estar lleno  -na
"pirijirü, jirijirü",periquito
pisaalü,bozal
pisaalü,episaatse
"pitshuushi, pitchuushi, kepeshuuna",fríjol
piuuna,sirviente  -ta
piuuna,esclavo  -va
piuuna,-se
"piyulu, piyula",bolsa de malla
"piyulu, piyula",-in
"piyulu, piyula",katto'ui
piyuushi,oscuridad
poloo ,pron
poloo ,diez
polu,hacha
polu,-in
ponoo aa’in,maravillar  asombrar
ponoo aa’in,fascinar
pooporo,fósforo
pooporo,-in
pootshi,barro
pootshi,-in
"potshonoi, wotshonoi",libélula
"puatto’u, puetto’u",puerta
"puatto’u, puetto’u",miicho'u
pueulo,pueblo (aldea)  ciudad
pülaa,ser poderoso  -sa
pülaa,ser dañino  -na
pülaa,ser sagrado  -da
pülaa aa’in,ser arrogante
pülaasa,plaza
pülaata,plato
pülaata,plata (el metal)
pülaata,apülaatse
püla’ana,plátano
püla’ana,-se  -in
"püliiki, püliikü",burro  -rra
"püliiki, püliikü",apüliise
pünajüt,lo sembrado  cultivo
pünajüt,apünajüin
pünajüt,a'ttia
püreesaa,estar preso  -sa
püreesaapüle,cárcel
püsiaa,ser dulce
püsichi,murciélago
"pütche’ejachi, -tü ",n
"pütche’ejachi, -tü ",no m
"pütche’ejachi, -tü ",palabrero  -ra (intermediario  -ria)
"pütche’ejachi, -tü ",pütche'ejana
pütchi,palabra
pütchi,discurso
pütchi,lengua (idioma)
pütchi,voz
pütchipü’ü,palabrero  -ra
pütchipü’ü,intermediario  -ria
pütchipü’ü,abogado  -da
püülükü,cerdo; marrano  -na
püülükü,-in
raawia,radio
raawia,-se  -in
rampara,lámpara  pos
rampara,-in
riwoolü,revólver
riwoolü,ariwootse
roo,arroz
roo,-se
rouya,espejo
rouya,ventana de vidrio  puerta de vidrio
rouya,-in
ruluma,comején (termes)
rüi,cuchillo  pos
rüi,arülia
rülipi,sábila  áloe
saamataa,estar frío  fría; estar fresco  -ca
sa’aya ,allá
sa’wai ,de noche
"sa’wainrü, sa’waina",tortuga de mar
samulu,buitre  zamuro
samulu,waluuseechi
sapaata,zapato
sapaata,asapaatse  asapaase
sarulu,boa
seepü,grasa  sebo
seepü,-in
"seita, seite",aceite
"seita, seite",-in
sekurulu,sikirulu
semaana,semana
senkeyuu,mellizo  -za; gemelo  -la
"seruma, sirumaachi",ave chirito
"siimaraalü, süinmaraalü",marca cortada en la oreja del ganado menor
"siimaraalü, süinmaraalü",asiimaraatse
siiya,silla de montar  silla
siiya,-in
siki,fuego
siki,leña
siki,asema
"sikirulu, sekurulu",ave carpintero habado
si’ira,cinturón (del varón)
si’ira,-in
si’warai,caldero
si’warai,-se
si’ya,gonzalito  toche
sinataa,sirataa
sipuulu,espuela
sipuulu,asipuutse
sirapü,cinturón (de la mujer)
sirapü,-se
sirasiraa,ser liso  -sa
sirasiraa,ser resbaloso  -sa
"sirataa, sinataa",ser liso  -sa
"sirataa, sinataa",ser parejo  -ja
"sirataa, sinataa",ser plano  -na; ser llano  -na
siruma,nube  cielo
sirumaachi,seruma
"sittiija, sittiiya",süttiija
so’uka’i ,hoy
so’uka’i ,de día
so’ukalinka ,ayer
sotoo aa’in,recordar  acordarse de
sotoo aa’in,El sujeto del verbo sotoo corresponde al complemento del verbo ‘recordar’ y el poseedor de aa'in  ‘corazón’  corresponde al sujeto de ‘recordar’
sotoo aa’in,Por ejemplo  sotiisü waa’in tii nümakat equivale a ‘recordamos lo que él dijo’
sotoo aa’in,oso'iraa aa'in
sotsoluu,tener dormido un miembro del cuerpo
